"STATE","INC_NO","OTH_DEATH","FF_DEATH","CAUSE_CODE","STREETNAME","CITY","ZIP5","year"
"AK","0000001",1,0,8,"Airguard","Saint Marys","99658","2012"
"AK","0000001",1,0,1,"Angela Smiths Residence","Alakanuk","99554","2012"
"AK","0001719",1,0,16,"42nd","Anchorage","99508","2012"
"AK","0016530",1,0,1,"Mc Carrey","Anchorage","99508","2012"
"AK","0000001",1,0,13,"Richardson ","Copper Center","99573","2012"
"AK","0002137",1,0,9,"N COLONIAL DR","WASILLA","99654","2012"
"AK","0043841",1,0,13,"E PETERSVILLE RD","TRAPPER CREEK","99683","2012"
"AK","0012260",1,0,13,"N DESHKA LOOP","WILLOW","99688","2012"
"AK","0000451",1,0,3,"King Salmon","Soldotna","99669","2012"
"AK","0000001",1,0,13,"Ressurection","Hope","99605","2012"
"AK","SFM-001",1,0,13,"Emperor","Dillingham","99576","2012"
"AK","0000002",1,0,10,"Russian Orthadox Church","Naknek","99633","2012"
"AK","0100506",2,0,15,"EIGHTEENTH","Fairbanks","99701","2012"
"AK","0100725",1,0,3,"LAKEVIEW TERRACE","Fairbanks","99701","2012"
"AK","0000455",1,0,13,"ROZAK","NORTH POLE","99705","2012"
"AK","0000001",2,0,13,"Fairs Residence","Galena","99741","2012"
"AK","0000001",2,0,12,"Fairs Residence","Galena","99741","2012"
"AK","0000001",2,0,3,"W Charlies Residence","Minto","99758","2012"
"AK","1200046",1,0,15,"king","Nome","99762","2012"
"AK","0SFM001",1,0,3,"6th","Fort Yukon","99740","2012"
"AL","0003317",1,0,2,"5TH","Tarrant","35217","2012"
"AL","2005922",1,0,5,"Wintzell","Bayou la Batre","36509","2012"
"AL","2009342",1,0,,"deakle","coden","36523","2012"
"AL","2009576",1,0,13,"satsuma","coden","36523","2012"
"AL","294",1,0,5,"Airport","Oxford","36203","2012"
"AL","012-081",1,0,13,"186 County Road 374","Clanton","35045","2012"
"AL","12-0001",1,0,13,"411 AL Highway 9","Equality","36026","2012"
"AL","252",1,0,15,"101 Beck St","Atmore","36502","2012"
"AL","452",2,0,,"Sycamore","Wawbeek","36502","2012"
"AL","0000054",1,0,13,"County 238","Moulton","35650","2012"
"AL","0002877",1,0,8,"BULLOCH","OPELIKA","36801","2012"
"AL","0013607",1,0,16,"GLENDALE","HUNTSVILLE","35810","2012"
"AL","0001870",1,0,16,"GOVERNORS","HUNTSVILLE","35801","2012"
"AL","0000014",1,0,5,"CANNON","ROANOKE","36274","2012"
"AL","1200380",1,0,15,"28th","Phenix City","36867","2012"
"AL","0000397",1,0,13,"Lee Rd 2088","Salem","36874","2012"
"AL","12-ooo1",1,0,13,"15392 Boyd Road","Elrod","35458","2012"
"AL","0510122",1,0,13,"6202 CR 29","Nauvoo","35578","2012"
"AR","0000103",1,0,13,"INDIAN HILLS","Rogers","72756","2012"
