"STATE","OTH_DEATH","FF_DEATH","total","year"
"AK",22,0,22,"2012"
"AL",19,0,19,"2012"
"AR",40,0,40,"2012"
"AZ",7,0,7,"2012"
"CA",52,0,52,"2012"
"CO",13,0,13,"2012"
"CT",10,0,10,"2012"
"DC",4,0,4,"2012"
"DE",1,0,1,"2012"
"FL",73,0,73,"2012"
"GA",53,0,53,"2012"
"HI",2,0,2,"2012"
"IA",18,0,18,"2012"
"ID",7,0,7,"2012"
"IL",90,0,90,"2012"
"IN",17,0,17,"2012"
"KS",28,0,28,"2012"
"KY",29,1,30,"2012"
"LA",22,0,22,"2012"
"MA",29,0,29,"2012"
"MD",31,0,31,"2012"
"ME",9,0,9,"2012"
"MI",55,0,55,"2012"
"MN",39,0,39,"2012"
"MO",31,0,31,"2012"
"MS",46,0,46,"2012"
"MT",7,0,7,"2012"
"NC",46,0,46,"2012"
"ND",2,0,2,"2012"
"NE",9,0,9,"2012"
"NH",8,0,8,"2012"
"NJ",37,1,38,"2012"
"NM",11,0,11,"2012"
"NV",22,0,22,"2012"
"NY",58,2,60,"2012"
"OH",85,0,85,"2012"
"OK",35,0,35,"2012"
"OR",10,0,10,"2012"
"PA",28,0,28,"2012"
"RI",3,0,3,"2012"
"SC",40,0,40,"2012"
"SD",5,0,5,"2012"
"TN",74,0,74,"2012"
"TX",116,0,116,"2012"
"UT",6,0,6,"2012"
"VA",50,0,50,"2012"
"VT",1,0,1,"2012"
"WA",38,0,38,"2012"
"WI",27,0,27,"2012"
"WV",41,0,41,"2012"
"WY",1,0,1,"2012"
"AK",12,0,12,"2013"
"AL",30,0,30,"2013"
"AR",33,0,33,"2013"
"AZ",7,0,7,"2013"
"CA",66,0,66,"2013"
"CO",11,0,11,"2013"
"CT",10,0,10,"2013"
"DE",2,0,2,"2013"
"FL",76,0,76,"2013"
"GA",57,0,57,"2013"
"HI",6,0,6,"2013"
"IA",15,0,15,"2013"
"ID",14,0,14,"2013"
"IL",83,0,83,"2013"
"IN",23,0,23,"2013"
"KS",30,0,30,"2013"
"KY",24,0,24,"2013"
"LA",22,0,22,"2013"
"MA",29,0,29,"2013"
"MD",34,0,34,"2013"
"ME",8,0,8,"2013"
"MI",63,0,63,"2013"
"MN",29,0,29,"2013"
