"IncidentNO","year","State","City","ZIP","Street","Other","Firefighter","Total","Cause","lon","lat"
"0000001",2012,"AK","Saint Marys","99658","Airguard",1,0,1,"Open Flame",150.7708274,-33.7589212
"0000001",2012,"AK","Alakanuk","99554","Angela Smiths Residence",1,0,1,"Intentional",-164.6152778,62.6888889
"0001719",2012,"AK","Anchorage","99508","42nd",1,0,1,"Investigation with Arson Module",-149.9002778,61.2180556
"0016530",2012,"AK","Anchorage","99508","Mc Carrey",1,0,1,"Intentional",-149.9002778,61.2180556
"0000001",2012,"AK","Copper Center","99573","Richardson ",1,0,1,"Unknown",-145.3052778,61.955
"0002137",2012,"AK","WASILLA","99654","N COLONIAL DR",1,0,1,"Other Heat",-149.4394444,61.5813889
"0043841",2012,"AK","TRAPPER CREEK","99683","E PETERSVILLE RD",1,0,1,"Unknown",-150.2313889,62.3166667
"0012260",2012,"AK","WILLOW","99688","N DESHKA LOOP",1,0,1,"Unknown",-114.4667774,36.5679822
"0000451",2012,"AK","Soldotna","99669","King Salmon",1,0,1,"Smoking",-151.0583332,60.4877778
"0000001",2012,"AK","Hope","99605","Ressurection",1,0,1,"Unknown",-92.8258089,34.3692858
"SFM-001",2012,"AK","Dillingham","99576","Emperor",1,0,1,"Unknown",-158.4575,59.0397222
"0000002",2012,"AK","Naknek","99633","Russian Orthadox Church",1,0,1,"Other Equipment",-157.0138889,58.7283333
"0100506",2012,"AK","Fairbanks","99701","EIGHTEENTH",2,0,2,"Other Unintentional, Careless",-147.7163889,64.8377778
"0100725",2012,"AK","Fairbanks","99701","LAKEVIEW TERRACE",1,0,1,"Smoking",-147.7163889,64.8377778
"0000455",2012,"AK","NORTH POLE","99705","ROZAK",1,0,1,"Unknown",-147.3494444,64.7511111
"0000001",2012,"AK","Galena","99741","Fairs Residence",2,0,2,"Unknown",-90.4290168,42.4166744
"0000001",2012,"AK","Galena","99741","Fairs Residence",2,0,2,"Exposure",-90.4290168,42.4166744
"0000001",2012,"AK","Minto","99758","W Charlies Residence",2,0,2,"Smoking",-97.3714652,48.2916547
"1200046",2012,"AK","Nome","99762","king",1,0,1,"Other Unintentional, Careless",-165.4063889,64.5011111
"0SFM001",2012,"AK","Fort Yukon","99740","6th",1,0,1,"Smoking",-145.2513402,66.56735
"0003317",2012,"AL","Tarrant","35217","5TH",1,0,1,"Playing with Heat Source",-97.3516558,32.7732044
"2005922",2012,"AL","Bayou la Batre","36509","Wintzell",1,0,1,"Cooking",-88.2607188,30.4069515
"2009342",2012,"AL","coden","36523","deakle",1,0,1,"None",-88.2383363,30.3829771
"2009576",2012,"AL","coden","36523","satsuma",1,0,1,"Unknown",-88.2383363,30.3829771
"294",2012,"AL","Oxford","36203","Airport",1,0,1,"Cooking",-1.2577263,51.7520209
"012-081",2012,"AL","Clanton","35045","186 County Road 374",1,0,1,"Unknown",-86.6294262,32.8387371
"12-0001",2012,"AL","Equality","36026","411 AL Highway 9",1,0,1,"Unknown",-88.343376,37.733936
"252",2012,"AL","Atmore","36502","101 Beck St",1,0,1,"Other Unintentional, Careless",-87.4938708,31.0237921
"452",2012,"AL","Wawbeek","36502","Sycamore",2,0,2,"None",-74.3365534,44.2545023
"0000054",2012,"AL","Moulton","35650","County 238",1,0,1,"Unknown",-117.7237627,33.5291274
"0002877",2012,"AL","OPELIKA","36801","BULLOCH",1,0,1,"Open Flame",-85.3782795,32.6454116
"0013607",2012,"AL","HUNTSVILLE","35810","GLENDALE",1,0,1,"Investigation with Arson Module",-86.5861037,34.7303688
"0001870",2012,"AL","HUNTSVILLE","35801","GOVERNORS",1,0,1,"Investigation with Arson Module",-86.5861037,34.7303688
"0000014",2012,"AL","ROANOKE","36274","CANNON",1,0,1,"Cooking",-79.9414266,37.2709704
"1200380",2012,"AL","Phenix City","36867","28th",1,0,1,"Other Unintentional, Careless",-85.0007653,32.4709761
"0000397",2012,"AL","Salem","36874","Lee Rd 2088",1,0,1,"Unknown",-70.8967155,42.51954
"12-ooo1",2012,"AL","Elrod","35458","15392 Boyd Road",1,0,1,"Unknown",-87.7922362,33.2562293
"0510122",2012,"AL","Nauvoo","35578","6202 CR 29",1,0,1,"Unknown",-91.3848749,40.550042
"0000103",2012,"AR","Rogers","72756","INDIAN HILLS",1,0,1,"Unknown",-94.1185366,36.3320196
"0000488",2012,"AR","ROGERS","72758","MCCANN",1,0,1,"Investigation with Arson Module",-94.1185366,36.3320196
"0000488",2012,"AR","ROGERS","72758","MCCANN",1,0,1,"Exposure",-94.1185366,36.3320196
"0030912",2012,"AR","Magnolia","71753","306 Columbia Rd 202",1,0,1,"Unknown",-95.7507815,30.2093794
"0000886",2012,"AR","Van Buren","72956","Jefferson",1,0,1,"Smoking",-94.348268,35.436756
"0001540",2012,"AR","Van Buren","72956","25th",1,0,1,"Cooking",-94.348268,35.436756
"2012002",2012,"AR","Fordyce","71742","W 5th St",1,0,1,"Other Unintentional, Careless",-92.4129303,33.8137161
"1203092",2012,"AR","MCGEHEE","71654","109 JEFFERSON STREET",1,0,1,"Natural",-90.08129,29.932376
"1209101",2012,"AR","MCGEHEE","71654","698 SONYAS LANE",1,0,1,"Other Unintentional, Careless",-90.08129,29.932376
"0382011",2012,"AR","Winchester","71677","135 South Peacock St",1,0,1,"Other Heat",-78.1633341,39.1856597
"0001363",2012,"AR","Conway","72034","HIGHWAY 25",1,0,1,"Investigation with Arson Module",-92.4421011,35.0886963
"0013762",2012,"AR","Conway","72034","CENTER STREET",1,0,1,"Open Flame",-92.4421011,35.0886963
"0000005",2012,"AR","Altus","72821","Hatties Ln",1,0,1,"Unknown",-99.3340442,34.637765
"0000009",2012,"AR","Altus","72821","Roseville St",1,0,1,"Unknown",-99.3340442,34.637765
"0121734",2012,"AR","HOT SPRINGS","71913","WOODLAWN",1,0,1,"Unknown",-93.0551795,34.5037004
"017",2012,"AR","Sheridan","72150","HWY 167",1,0,1,"None",-106.9561791,44.7971939
"0000305",2012,"AR","Paragould","72450","6th",1,0,1,"Unknown",-90.4973286,36.0584021
"0022512",2012,"AR","Nashville","71852","278",1,0,1,"Other Unintentional, Careless",-86.7816016,36.1626638
"2012060",2012,"AR","VIOLET HILL","72584","LACROSSE",1,0,1,"Intentional",-91.8415363,36.1536795
"0000054",2012,"AR","Pine Bluff","71603","1700 Dixon Lane",1,0,1,"Unknown",-92.0031955,34.2284312
"1200527",2012,"AR","PINE BLUFF","71601","COTTONWOOD",1,0,1,"Unknown",-92.0031955,34.2284312
"7012",2012,"AR","Lamar","72846","1961 County Road 2651",1,0,1,"Unknown",-102.6207496,38.0872307
"0012039",2012,"AR","lonoke","72086","thomas",1,0,1,"Unknown",-91.8998611,34.7839795
"0012039",2012,"AR","lonoke","72086","thomas",1,0,1,"Exposure",-91.8998611,34.7839795
"0012085",2012,"AR","Cabot","72023","Sunset",1,0,1,"Unknown",-92.0165336,34.974532
"1200754",2012,"AR","Texarkana","71854","MARKWOOD",1,0,1,"Open Flame",-94.0476882,33.425125
"0000002",2012,"AR","Clarendon","72029","Bedford Ln",2,0,2,"Unknown",-100.8881993,34.9378289
"2012054",2012,"AR","Amden","71701","OUACHITA 437",1,0,1,"Unknown",9.1401481,47.1491923
"2012012",2012,"AR","Trumann","72472","Dogwood",1,0,1,"Unknown",-90.5073285,35.6736895
"0242012",2012,"AR","Hatfield","71945","Cadillac",1,0,1,"None",-72.5963431,42.3732554
"29",2012,"AR","Hatfield","71945","113 Cadillac Ln",1,0,1,"Unknown",-72.5963431,42.3732554
"0000012",2012,"AR","Atkins","72823","HWY 64 E",1,0,1,"Other Unintentional, Careless",-92.9365581,35.2464719
"0009692",2012,"AR","North Little Rock","72118","GUM",1,0,1,"Other Unintentional, Careless",-92.2670941,34.769536
"1201031",2012,"AR","Little Rock","77201","Lilac",1,0,1,"Unknown",-92.2895948,34.7464809
"1224893",2012,"AR","Little Rock","77201","Verbena",1,0,1,"Unknown",-92.2895948,34.7464809
"2012009",2012,"AR","caldwell","72322","1168 hwy 261",1,0,1,"Unknown",-74.2765366,40.8398218
"0000065",2012,"AR","Fort Smith","72901","WIRSING",1,0,1,"Heating",-94.3985475,35.3859242
"0000065",2012,"AR","Fort Smith","72901","WIRSING",1,0,1,"Exposure",-94.3985475,35.3859242
"0002174",2012,"AR","Fort Smith","72908","BRAZIL",1,0,1,"Investigation with Arson Module",-94.3985475,35.3859242
"0002174",2012,"AR","Fort Smith","72908","BRAZIL",1,0,1,"Exposure",-94.3985475,35.3859242
"0003700",2012,"AR","Fort Smith","72902","22",1,0,1,"Unknown",-94.3985475,35.3859242
"0004026",2012,"AR","Fort Smith","72904","49",1,0,1,"Investigation with Arson Module",-94.3985475,35.3859242
"0000749",2012,"AR","beebe","72012","826 swinging bridge rd",1,0,1,"Unknown",-91.8795856,35.0706423
"0063576",2012,"AZ","Mesa","85201","EXTENSION",1,0,1,"Other Unintentional, Careless",-111.8314724,33.4151843
"0048901",2012,"AZ","Tempe","85283","CARTER",1,0,1,"Open Flame",-111.9400054,33.4255104
"011205",2012,"AZ","Wickenburg","85390","Cope",1,0,1,"Intentional",-112.7301882,33.9697664
"0023507",2012,"AZ","Bullhead City","86442","Gemstone",1,0,1,"Smoking",-114.5285981,35.1359386
"0000055",2012,"AZ","Golden Valley","86413","Verde",1,0,1,"Other Unintentional, Careless",-93.3600034,44.9917149
"001150",2012,"AZ","Sahuarita","85629","Camino Antigua",1,0,1,"None",-110.955646,31.9575818
"0003300",2012,"AZ","YUMA","85364","3",1,0,1,"Unknown",-114.6276916,32.6926512
"1201232",2012,"CA","ALAMEDA","94501","ELM",1,0,1,"Electrical Malfunction",-122.2416355,37.7652065
"6232",2012,"CA","NORD","95973","NORD",1,0,1,"Unknown",-89.437921,43.190526
"2001609",2012,"CA","Bay Point","None","Tammy",1,0,1,"Electrical Malfunction",-121.9616274,38.0290872
"2007678",2012,"CA","Concord","CRD","Clayton",1,0,1,"Open Flame",-122.0310733,37.9779776
"2053854",2012,"CA","Martinez","MAR","Donegal",2,0,2,"Other Heat",-122.1341321,38.0193657
"0000414",2012,"CA","Pollock Pines","95726","HUB",1,0,1,"Unknown",-120.5865935,38.7612923
"0000298",2012,"CA","S Lake Tahoe","96150","Julie",1,0,1,"Other Unintentional, Careless",-119.9771868,38.939926
"0005841",2012,"CA","ORANGE COVE","93646","9TH",2,0,2,"Electrical Malfunction",-119.3137301,36.624394
"0005841",2012,"CA","ORANGE COVE","93646","9TH",2,0,2,"Exposure",-119.3137301,36.624394
"0005841",2012,"CA","ORANGE COVE","93646","9TH",2,0,2,"Exposure",-119.3137301,36.624394
"0005841",2012,"CA","ORANGE COVE","93646","9TH",2,0,2,"Exposure",-119.3137301,36.624394
"1221139",2012,"CA","El Centro","92243","McConnell",2,0,2,"Unknown",-115.5630514,32.792
"1221709",2012,"CA","Calexico","92231","98",1,0,1,"Other Equipment",-115.4988834,32.6789476
"0000655",2012,"CA","Corcoran","93212","6 12",2,0,2,"Unknown",-119.5604015,36.098007
"0006139",2012,"CA","LONG BEACH","90808","SCRIVENER",1,0,1,"Smoking",-118.1937395,33.7700504
"489",2012,"CA","LOS ANGELES","90035","GARTH",1,0,1,"Other Unintentional, Careless",-118.2436849,34.0522342
"489",2012,"CA","LOS ANGELES","90035","GARTH",1,0,1,"Electrical Malfunction",-118.2436849,34.0522342
"489",2012,"CA","LOS ANGELES","90035","GARTH",1,0,1,"Unknown",-118.2436849,34.0522342
"591",2012,"CA","LOS ANGELES","90004","HARVARD",2,0,2,"Intentional",-118.2436849,34.0522342
"591",2012,"CA","LOS ANGELES","90004","HARVARD",2,0,2,"Cooking",-118.2436849,34.0522342
"591",2012,"CA","LOS ANGELES","90004","HARVARD",2,0,2,"Electrical Malfunction",-118.2436849,34.0522342
"591",2012,"CA","LOS ANGELES","90004","HARVARD",2,0,2,"Appliances",-118.2436849,34.0522342
"1097",2012,"CA","LOS ANGELES","90044","76TH",1,0,1,"Unknown",-118.2436849,34.0522342
"1097",2012,"CA","LOS ANGELES","90044","76TH",1,0,1,"Cooking",-118.2436849,34.0522342
"1097",2012,"CA","LOS ANGELES","90044","76TH",1,0,1,"Electrical Malfunction",-118.2436849,34.0522342
"171",2012,"CA","LOS ANGELES","90035","SHERBOURNE",1,0,1,"Smoking",-118.2436849,34.0522342
"171",2012,"CA","LOS ANGELES","90035","SHERBOURNE",1,0,1,"Equipment Misoperation, Failure",-118.2436849,34.0522342
"171",2012,"CA","LOS ANGELES","90035","SHERBOURNE",1,0,1,"Other Heat",-118.2436849,34.0522342
"171",2012,"CA","LOS ANGELES","90035","SHERBOURNE",1,0,1,"Other Heat",-118.2436849,34.0522342
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Intentional",-118.2436849,34.0522342
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Other Heat",-118.2436849,34.0522342
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Electrical Malfunction",-118.2436849,34.0522342
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Smoking",-118.2436849,34.0522342
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Other Heat",-118.2436849,34.0522342
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Unknown",-118.2436849,34.0522342
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Unknown",-118.2436849,34.0522342
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Intentional",-118.2436849,34.0522342
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Other Heat",-118.2436849,34.0522342
"56",2012,"CA","LOS ANGELES","90065","03844 E AGUILAR ST",1,0,1,"Intentional",-118.2436849,34.0522342
"782",2012,"CA","WOODLAND HILLS","91367","GLADE",1,0,1,"Electrical Malfunction",-118.6089752,34.165357
"782",2012,"CA","WOODLAND HILLS","91367","GLADE",1,0,1,"Equipment Misoperation, Failure",-118.6089752,34.165357
"782",2012,"CA","WOODLAND HILLS","91367","GLADE",1,0,1,"Unknown",-118.6089752,34.165357
"782",2012,"CA","WOODLAND HILLS","91367","GLADE",1,0,1,"Cooking",-118.6089752,34.165357
"782",2012,"CA","WOODLAND HILLS","91367","GLADE",1,0,1,"Equipment Misoperation, Failure",-118.6089752,34.165357
"662",2012,"CA","LOS ANGELES","91304","BALTAR",1,0,1,"Cooking",-118.2436849,34.0522342
"662",2012,"CA","LOS ANGELES","91304","BALTAR",1,0,1,"Cooking",-118.2436849,34.0522342
"662",2012,"CA","LOS ANGELES","91304","BALTAR",1,0,1,"Intentional",-118.2436849,34.0522342
"662",2012,"CA","LOS ANGELES","91304","BALTAR",1,0,1,"Smoking",-118.2436849,34.0522342
"0009470",2012,"CA","PASADENA","91105","CALIFORNIA BL",1,0,1,"Smoking",-118.1445155,34.1477849
"0062791",2012,"CA","PASADENA","91103","EL SERENO AV",2,0,2,"Unknown",-118.1445155,34.1477849
"0001821",2012,"CA","Fairfax","94930","MEADOW",1,0,1,"None",-77.3063733,38.8462236
"7132",2012,"CA","Ukiah","95482","Greenfield Ranch",1,0,1,"None",-123.2077831,39.1501709
"17205",2012,"CA","ATWATERCITY","95301","VALLEY",1,0,1,"Other Unintentional, Careless",-120.609084,37.3477174
"0002585",2012,"CA","MERCED","95340","12TH",1,0,1,"Intentional",-120.4829677,37.3021632
"0003488",2012,"CA","Monterey","93940","MUNRAS",1,0,1,"Unknown",-121.8946761,36.6002378
"1202185",2012,"CA","Riverside","92506","Apricot",1,0,1,"Unknown",-117.3961564,33.9533487
"1208359",2012,"CA","Riverside","92504","Sheridan",2,0,2,"Intentional",-117.3961564,33.9533487
"1219777",2012,"CA","Riverside","92501","6th",1,0,1,"Smoking",-117.3961564,33.9533487
"0135783",2012,"CA","Citrus Heights","95610","Auburn",1,0,1,"Unknown",-121.2810611,38.7071247
"67602",2012,"CA","SSC","95823","SKY",1,0,1,"Unknown",-122.494897,48.755304
"1201294",2012,"CA","COLTON","92324","Valley",1,0,1,"None",-117.3136547,34.0739016
"1201300",2012,"CA","SAN BERNARDINO","92411","TIAJUANA",1,0,1,"None",-117.2897652,34.1083449
"0004200",2012,"CA","OCEANSIDE","92054","Lancelot",1,0,1,"Other Unintentional, Careless",-117.3794834,33.1958696
"0106446",2012,"CA","SAN DIEGO","92105","van dyke",1,0,1,"Smoking",-117.1610838,32.715738
"043388",2012,"CA","SF","94109","POST",1,0,1,"Intentional",-122.4194155,37.7749295
"076101",2012,"CA","SF","94112","VIENNA",2,0,2,"Electrical Malfunction",-122.4194155,37.7749295
"0000277",2012,"CA","Penngrove","94951","WESTGATE",2,0,2,"Smoking",-122.6664251,38.29975
"0001048",2012,"CA","SANTA ROSA","95407","SEBASTOPOL",1,0,1,"Intentional",-122.7140548,38.440429
"0000039",2012,"CA","Oxnard","93030","First",1,0,1,"Unknown",-119.1770516,34.1975048
"2338",2012,"CA","Thousand Oaks","91360","OLSEN",1,0,1,"Unknown",-118.8375937,34.1705609
"6314",2012,"CA","LOMARICAFD","95901","SHADOWBROOK",1,0,1,"Unknown",-121.4177419,39.3118348
"11601",2012,"CA","MARYSVILLEFD","95901","BUCHANAN",1,0,1,"None",-121.5913547,39.1457253
"0000173",2012,"CO","Alamosa","81101","Eleventh",1,0,1,"Intentional",-105.8700214,37.4694491
"3120199",2012,"CO","Security","80911","Cielo",1,0,1,"Investigation with Arson Module",-80.0884774,26.6116119
"0002457",2012,"CO","SECURITY","80911","CIELO VISTA",1,0,1,"Smoking",-80.0884774,26.6116119
"0003683",2012,"CO","ARVADA","80004","COLE",1,0,1,"Unknown",-105.0874842,39.8027644
"37",2012,"CO","LAKEWOOD","80226","PARFET",1,0,1,"Smoking",-95.4346238,29.7303278
"11030",2012,"CO","FORT COLLINS","80526","LODI",1,0,1,"Smoking",-105.084423,40.5852602
"0000035",2012,"CO","Craig","81625","Woodland",1,0,1,"Unknown",-107.5464541,40.5152491
"2550",2012,"CO","MONTROSE","81401","ARIZONA",1,0,1,"Intentional",-107.8761738,38.4783198
"1317",2012,"CO","PUEBLO","81004","JACKSON",1,0,1,"Open Flame",-104.6091409,38.2544472
"14286",2012,"CO","PUEBLO","81001","2ND",4,0,4,"Smoking",-104.6091409,38.2544472
"0001005",2012,"CT","New Britain","06053","CLINIC",1,0,1,"Other Unintentional, Careless",-72.7795419,41.6612104
"0001883",2012,"CT","New Britain","06053","WHITING",1,0,1,"Cooking",-72.7795419,41.6612104
"0000201",2012,"CT","NEWINGTON","06111","VINEYARD",2,0,2,"Unknown",-72.7228293,41.6972996
"0012443",2012,"CT","WETHERSFIELD","06109","HARVEST",1,0,1,"Other Heat",-72.6596244,41.7063537
"0001908",2012,"CT","DANBURY","06810","HARDING",1,0,1,"Unknown",-73.4540111,41.394817
"0002101",2012,"CT","FAIRFIELD","06824","BENSON",1,0,1,"Cooking",-73.2612615,41.1408363
"0005378",2012,"CT","NORWALK","06850","MAPLE",1,0,1,"Investigation with Arson Module",-73.4081575,41.117744
"0001875",2012,"CT","NEW LONDON","06320","BLINMAN",2,0,2,"Intentional",-72.0995209,41.3556539
"0013191",2012,"DC","WASHINGTON","20018","BLADENSBURG",1,0,1,"Unknown",-120.7401386,47.7510741
"0023231",2012,"DC","WASHINGTON","20020","GOOD HOPE",1,0,1,"Open Flame",-120.7401386,47.7510741
"0144275",2012,"DC","WASHINGTON","20010","NEWTON",1,0,1,"Open Flame",-120.7401386,47.7510741
"0166578",2012,"DC","WASHINGTON","20001","1ST",1,0,1,"Other Unintentional, Careless",-120.7401386,47.7510741
"0000021",2012,"DE","DOVER","19904","S NEW ST",1,0,1,"Unknown",-75.5243682,39.158168
"4847",2012,"FL","Jacksonville","32224","RICHMOND PARK",1,0,1,"Other Unintentional, Careless",-81.655651,30.3321838
"5365",2012,"FL","Jacksonville","32256","FAWN LAKE",1,0,1,"Unknown",-81.655651,30.3321838
"16397",2012,"FL","Jacksonville","32202","GRANT",1,0,1,"Other Heat",-81.655651,30.3321838
