"IncidentNO","year","State","City","ZIP","Street","Other","Firefighter","Total","Cause"
"0000001",2012,"AK","Saint Marys","99658","Airguard",1,0,1,"Open Flame"
"0000001",2012,"AK","Alakanuk","99554","Angela Smiths Residence",1,0,1,"Intentional"
"0001719",2012,"AK","Anchorage","99508","42nd",1,0,1,"Investigation with Arson Module"
"0016530",2012,"AK","Anchorage","99508","Mc Carrey",1,0,1,"Intentional"
"0000001",2012,"AK","Copper Center","99573","Richardson ",1,0,1,"Unknown"
"0002137",2012,"AK","WASILLA","99654","N COLONIAL DR",1,0,1,"Other Heat"
"0043841",2012,"AK","TRAPPER CREEK","99683","E PETERSVILLE RD",1,0,1,"Unknown"
"0012260",2012,"AK","WILLOW","99688","N DESHKA LOOP",1,0,1,"Unknown"
"0000451",2012,"AK","Soldotna","99669","King Salmon",1,0,1,"Smoking"
"0000001",2012,"AK","Hope","99605","Ressurection",1,0,1,"Unknown"
"SFM-001",2012,"AK","Dillingham","99576","Emperor",1,0,1,"Unknown"
"0000002",2012,"AK","Naknek","99633","Russian Orthadox Church",1,0,1,"Other Equipment"
"0100506",2012,"AK","Fairbanks","99701","EIGHTEENTH",2,0,2,"Other Unintentional, Careless"
"0100725",2012,"AK","Fairbanks","99701","LAKEVIEW TERRACE",1,0,1,"Smoking"
"0000455",2012,"AK","NORTH POLE","99705","ROZAK",1,0,1,"Unknown"
"0000001",2012,"AK","Galena","99741","Fairs Residence",2,0,2,"Unknown"
"0000001",2012,"AK","Galena","99741","Fairs Residence",2,0,2,"Exposure"
"0000001",2012,"AK","Minto","99758","W Charlies Residence",2,0,2,"Smoking"
"1200046",2012,"AK","Nome","99762","king",1,0,1,"Other Unintentional, Careless"
"0SFM001",2012,"AK","Fort Yukon","99740","6th",1,0,1,"Smoking"
"0003317",2012,"AL","Tarrant","35217","5TH",1,0,1,"Playing with Heat Source"
"2005922",2012,"AL","Bayou la Batre","36509","Wintzell",1,0,1,"Cooking"
"2009342",2012,"AL","coden","36523","deakle",1,0,1,"None"
